file                Rg           Dmax
OUT20_1_15500 22.513 76.5623
OUT21_1_15500 22.5306 76.6143
OUT26_1_15500 22.6215 76.8767
OUT22_1_15500 22.5473 76.6666
OUT23_1_15500 22.5662 76.7184
OUT20_1_16000 22.4787 76.7144
OUT21_1_16000 22.5346 76.7743
OUT26_1_16000 22.8585 77.779
OUT22_1_16000 22.5968 76.9883
OUT23_1_16000 22.6595 77.2964
OUT20_1_16500 22.3925 76.5983
OUT26_1_16500 23.1381 78.6225
OUT21_1_16500 22.4725 76.7341
OUT22_1_16500 22.5689 76.9828
OUT23_1_16500 22.7071 77.5607
OUT20_1_17000 22.3598 76.2362
OUT26_1_17000 23.4137 79.4096
OUT21_1_17000 22.4731 76.5757
OUT22_1_17000 22.5465 76.9048
OUT23_1_17000 22.7257 77.3515
OUT26_1_17500 23.6964 80.4154
OUT22_1_17500 22.5708 77.1275
OUT21_1_17500 22.4569 76.4937
OUT20_1_17500 22.3982 76.17
OUT23_1_17500 22.7979 77.9285
OUT26_1_18000 23.9867 81.0482
OUT21_1_18000 22.4193 76.4054
OUT22_1_18000 22.5562 77.0016
OUT20_1_18000 22.3636 76.259
OUT23_1_18000 22.8539 77.7825
OUT21_1_18500 22.3662 76.1451
OUT26_1_18500 24.3185 81.7428
OUT22_1_18500 22.5108 76.832
OUT20_1_18500 22.2863 75.8183
OUT23_1_18500 22.8921 77.6322
OUT21_1_19000 22.3549 76.3511
OUT22_1_19000 22.5079 76.6465
OUT26_1_19000 24.622 82.7403
OUT20_1_19000 22.2249 75.8898
OUT22_1_19500 22.4714 76.7274
OUT21_1_19500 22.3909 76.1478
OUT23_1_19000 22.9108 77.6953
OUT26_1_19500 24.9134 83.246
OUT20_1_19500 22.2035 75.4671
OUT21_1_20000 22.3285 75.7741
OUT22_1_20000 22.5012 76.8743
OUT23_1_19500 22.9043 78.0057
OUT26_1_20000 25.1558 83.1564
OUT20_1_20000 22.1376 75.046
OUT21_1_20500 22.2572 75.6444
OUT22_1_20500 22.5411 76.6161
OUT23_1_20000 22.8919 77.6774
OUT26_1_20500 25.2891 83.9713
OUT20_1_20500 22.0404 74.3912
OUT22_1_21000 22.5522 76.5185
OUT21_1_21000 22.174 75.1966
OUT23_1_20500 22.8704 77.707
OUT20_1_21000 21.9321 74.0245
OUT26_1_21000 25.4257 84.3269
OUT22_1_21500 22.5198 76.7165
OUT23_1_21000 22.8617 77.736
OUT21_1_21500 22.1641 74.3929
OUT20_1_21500 21.9567 73.7359
