file                Rg           Dmax
OUT14_1_15500 14.8526 43.4645
OUT17_1_15500 14.854 43.4778
OUT16_1_15500 14.8535 43.4726
OUT18_1_15500 14.8545 43.4835
OUT17_1_16000 14.8515 43.6298
OUT16_1_16000 14.8519 43.6428
OUT14_1_16000 14.8525 43.6925
OUT15_1_16000 14.852 43.6723
OUT18_1_16000 14.8516 43.6277
OUT17_1_16500 14.8482 43.4701
OUT16_1_16500 14.8448 43.5058
OUT14_1_16500 14.8447 43.3613
OUT15_1_16500 14.8468 43.4463
OUT18_1_16500 14.8527 43.6101
OUT16_1_17000 14.8465 43.4683
OUT17_1_17000 14.8467 43.622
OUT14_1_17000 14.8578 43.7353
OUT15_1_17000 14.8517 43.4389
OUT18_1_17000 14.8465 43.7166
OUT17_1_17500 14.8649 43.7146
OUT16_1_17500 14.8535 43.6852
OUT14_1_17500 14.8583 43.6926
OUT15_1_17500 14.858 43.7042
OUT18_1_17500 14.8562 43.4086
OUT17_1_18000 14.8557 43.3481
OUT16_1_18000 14.8519 43.5423
OUT14_1_18000 14.8543 43.5518
OUT15_1_18000 14.8527 43.4598
OUT18_1_18000 14.8463 43.3365
OUT17_1_18500 14.8513 43.5485
OUT14_1_18500 14.8607 43.5082
OUT16_1_18500 14.8537 43.4836
OUT15_1_18500 14.8577 43.475
OUT18_1_18500 14.8597 43.6966
OUT17_1_19000 14.8578 43.5425
OUT14_1_19000 14.8588 43.3916
OUT15_1_19000 14.8638 43.6105
OUT16_1_19000 14.8482 43.3009
OUT18_1_19000 14.8508 43.4955
OUT14_1_19500 14.8553 43.5375
OUT16_1_19500 14.8691 43.6053
OUT17_1_19500 14.8452 43.2244
OUT18_1_19500 14.8543 43.7951
OUT16_1_20000 14.861 43.3791
OUT14_1_20000 14.8507 43.4613
OUT17_1_20000 14.8555 43.2244
OUT15_1_20000 14.8526 43.5011
OUT18_1_20000 14.8577 43.645
OUT16_1_20500 14.86 43.5052
OUT14_1_20500 14.8653 43.9133
OUT17_1_20500 14.861 43.6878
OUT15_1_20500 14.8629 43.3052
OUT18_1_20500 14.8597 43.4035
OUT16_1_21000 14.8532 43.2244
OUT14_1_21000 14.8539 43.3793
OUT15_1_21000 14.8595 43.4386
OUT17_1_21000 14.855 43.3294
OUT18_1_21000 14.8602 43.5159
OUT15_1_21500 14.8571 43.5544
OUT17_1_21500 14.8704 43.6394
OUT16_1_21500 14.8615 43.6758
OUT14_1_21500 14.8521 43.4384
OUT18_1_21500 14.8512 43.2289
OUT17_1_22000 14.8495 43.4477
OUT15_1_22000 14.872 43.8376
OUT14_1_22000 14.863 43.3347
OUT16_1_22000 14.8648 43.5839
OUT18_1_22000 14.8524 43.442
OUT17_1_22500 14.8557 43.2299
OUT15_1_22500 14.8544 43.288
OUT16_1_22500 14.8612 43.7323
OUT14_1_22500 14.857 43.4901
OUT18_1_22500 14.8506 43.6631
OUT17_1_23000 14.8442 43.2244
OUT14_1_23000 14.862 43.8463
OUT15_1_23000 14.861 43.5973
OUT16_1_23000 14.8639 43.6673
OUT18_1_23000 14.859 43.9304
OUT17_1_23500 14.8522 43.4624
OUT14_1_23500 14.8644 43.9199
OUT18_1_23500 14.8575 43.4459
OUT14_1_24000 14.8581 43.3614
OUT17_1_24000 14.8568 43.5573
OUT15_1_24000 14.8575 43.4816
OUT18_1_24000 14.8614 43.7331
OUT14_1_24500 14.8591 43.228
OUT15_1_24500 14.8663 43.6299
OUT16_1_24500 14.8587 43.5341
OUT18_1_24500 14.8617 43.5822
OUT14_1_25000 14.8501 43.3119
OUT15_1_25000 14.8561 43.3009
OUT17_1_25000 14.8586 43.7539
OUT16_1_25000 14.8521 43.41
OUT18_1_25000 14.8539 43.7969
OUT14_1_25500 14.8586 43.5227
OUT15_1_25500 14.8597 43.4426
OUT18_1_25500 14.8549 43.3768
OUT16_1_25500 14.8535 43.3479
OUT14_1_26000 14.8696 43.9644
OUT15_1_26000 14.862 43.5821
OUT18_1_26000 14.8466 43.2244
OUT17_1_26000 14.8587 43.7935
