file                Rg           Dmax
OUT31_1_15500 31.2958 89.4564
OUT35_1_15500 31.3475 89.542
OUT35_1_16000 31.476 89.7232
OUT31_1_16000 31.2914 89.3254
OUT35_1_16500 31.6356 90.8699
OUT31_1_16500 31.2633 90.2675
OUT35_1_17000 31.7996 90.7105
OUT31_1_17000 31.2014 88.8077
OUT35_1_17500 32.0946 91.4751
OUT31_1_17500 31.2183 88.8233
OUT35_1_18000 32.4167 92.0554
OUT31_1_18000 31.166 88.4934
OUT35_1_18500 32.737 93.3034
OUT31_1_18500 31.2146 88.1044
OUT35_1_19000 33.0608 93.1662
OUT31_1_19000 31.2624 88.5352
OUT35_1_19500 33.372 94.1375
OUT31_1_19500 31.247 87.2992
OUT35_1_20000 33.7823 95.2565
OUT31_1_20000 31.2282 87.6119
OUT35_1_20500 34.3366 95.8432
OUT31_1_20500 31.2281 87.5378
OUT35_1_21000 34.9057 96.4528
OUT31_1_21000 31.3052 87.4551
OUT35_1_21500 35.4177 97.6873
OUT31_1_21500 31.3518 87.1912
OUT35_1_22000 35.7878 98.4379
OUT31_1_22000 31.3894 86.8532
OUT35_1_22500 36.0993 99.4351
OUT31_1_22500 31.4003 86.8194
OUT35_1_23000 36.4281 99.5645
OUT31_1_23000 31.4044 86.5901
OUT35_1_23500 36.7873 100.201
OUT31_1_23500 31.4249 86.1832
OUT35_1_24000 37.0714 100.904
OUT31_1_24000 31.4176 86.0045
OUT31_1_24500 31.3829 85.6284
OUT35_1_24500 37.2597 101.894
OUT31_1_25000 31.3877 85.6038
OUT35_1_25000 37.4443 102.17
OUT31_1_25500 31.4028 85.2072
OUT35_1_25500 37.6327 102.763
OUT31_1_26000 31.3778 84.7956
OUT35_1_26000 37.7843 102.661
OUT31_1_26500 31.2624 84.7149
OUT35_1_26500 37.8403 102.486
OUT31_1_27000 31.1111 84.4432
OUT35_1_27000 37.828 102.611
OUT31_1_27500 31.0284 84.1506
OUT35_1_27500 37.6997 101.636
OUT31_1_28000 30.9917 83.7804
OUT35_1_28000 37.4988 101.389
OUT31_1_28500 30.948 83.3319
OUT31_1_29000 30.8902 82.8562
OUT35_1_28500 37.2489 100.746
OUT31_1_29500 30.7547 82.3897
OUT35_1_29000 37.0206 100.527
OUT31_1_30000 30.5706 81.9056
OUT35_1_29500 36.84 100.662
OUT31_1_30500 30.4769 81.6386
OUT35_1_30000 36.6979 100.869
OUT31_1_31000 30.5007 81.5203
OUT35_1_30500 36.4685 100.967
OUT31_1_31500 30.5282 81.8718
OUT35_1_31000 36.1687 101.031
OUT31_1_32000 30.4848 81.1531
OUT35_1_31500 35.8136 100.936
OUT31_1_32500 30.4278 81.1259
OUT35_1_32000 35.4214 100.675
OUT31_1_33000 30.3961 81.6504
OUT31_1_33500 30.351 82.1933
OUT35_1_32500 35.0861 100.406
OUT31_1_34000 30.2993 82.7342
OUT35_1_33000 34.8543 100.374
OUT31_1_34500 30.2817 83.3719
OUT35_1_33500 34.6034 100.302
OUT31_1_35000 30.3486 83.898
OUT35_1_34000 34.3461 100.017
OUT31_1_35500 30.3933 84.4078
OUT35_1_34500 34.1117 99.5631
OUT31_1_36000 30.4467 84.9268
OUT35_1_35000 33.8606 99.0772
OUT31_1_36500 30.5227 85.3935
OUT35_1_35500 33.6767 98.8453
OUT31_1_37000 30.6318 85.8145
OUT35_1_36000 33.5598 98.7047
OUT31_1_37500 30.6941 86.2216
OUT35_1_36500 33.5526 98.6689
OUT31_1_38000 30.7924 86.6397
OUT31_1_38500 30.8802 87.0686
OUT35_1_37000 33.614 98.7669
OUT31_1_39000 31.0192 87.6276
OUT35_1_37500 33.671 98.9113
OUT31_1_39500 31.133 88.1844
OUT35_1_38000 33.6887 99.2151
OUT31_1_40000 31.2173 88.6624
OUT35_1_38500 33.7112 99.5964
OUT31_1_40500 31.2729 89.1357
OUT35_1_39000 33.7709 100.018
OUT31_1_41000 31.3307 89.5408
OUT34_1_15500 31.3346 89.4942
OUT33_1_15500 31.3216 89.4906
OUT35_1_39500 33.8895 100.495
OUT31_1_41500 31.3789 89.996
OUT34_1_16000 31.4249 89.6227
OUT35_1_40000 34.086 101.038
OUT33_1_16000 31.3781 89.6389
OUT31_1_42000 31.3617 90.4229
OUT34_1_16500 31.5273 90.406
OUT35_1_40500 34.2641 101.547
OUT33_1_16500 31.4423 90.4814
OUT31_1_42500 31.3306 90.7667
OUT34_1_17000 31.628 90.61
OUT33_1_17000 31.4965 90.0881
OUT35_1_41000 34.4244 101.93
OUT31_1_43000 31.3289 90.9609
OUT34_1_17500 31.8571 90.7669
OUT33_1_17500 31.6369 90.5915
OUT35_1_41500 34.553 102.223
OUT31_1_43500 31.3837 91.249
OUT34_1_18000 32.0885 91.395
OUT33_1_18000 31.7702 90.9384
OUT35_1_42000 34.7283 102.541
OUT31_1_44000 31.4252 91.4648
OUT34_1_18500 32.329 91.8771
OUT33_1_18500 31.9078 90.9067
OUT35_1_42500 34.9018 102.923
OUT31_1_44500 31.464 91.6056
OUT34_1_19000 32.6401 92.3722
OUT33_1_19000 32.1168 91.6328
OUT35_1_43000 35.0538 103.299
OUT31_1_45000 31.4885 91.6939
OUT34_1_19500 32.9515 92.5816
OUT33_1_19500 32.349 91.786
OUT31_1_45500 31.452 91.7658
OUT35_1_43500 35.2096 103.514
OUT34_1_20000 33.2146 94.0335
OUT33_1_20000 32.5725 91.9825
OUT31_1_46000 31.3996 91.8118
OUT35_1_44000 35.3291 103.649
OUT34_1_20500 33.4686 94.3654
OUT33_1_20500 32.7761 93.0968
OUT31_1_46500 31.38 91.8099
OUT35_1_44500 35.41 103.613
OUT34_1_21000 33.7651 95.1035
OUT33_1_21000 32.9635 93.3758
OUT31_1_47000 31.4143 91.9463
OUT35_1_45000 35.5037 103.643
OUT34_1_21500 34.1208 95.9413
OUT33_1_21500 33.157 93.577
OUT31_1_47500 31.4242 92.1658
OUT35_1_45500 35.6077 103.813
OUT34_1_22000 34.4959 95.8652
OUT33_1_22000 33.3427 93.7311
OUT31_1_48000 31.3931 92.3891
OUT35_1_46000 35.7073 103.996
OUT34_1_22500 34.8273 96.6967
OUT33_1_22500 33.5201 93.8771
OUT31_1_48500 31.3811 92.532
OUT35_1_46500 35.775 104.234
OUT34_1_23000 35.0947 97.6131
OUT33_1_23000 33.6788 94.1573
OUT31_1_49000 31.4119 92.7006
OUT35_1_47000 35.8752 104.539
OUT34_1_23500 35.2985 97.4903
OUT33_1_23500 33.865 94.1609
OUT31_1_49500 31.4352 92.8081
OUT35_1_47500 35.9528 104.746
OUT31_1_50000 31.483 93.1107
OUT33_1_24000 34.0348 93.7939
OUT34_1_24000 35.4563 98.321
OUT35_1_48000 36.017 104.965
OUT31_1_50500 31.4977 93.2387
OUT33_1_24500 34.1375 94.1586
OUT34_1_24500 35.6105 98.1819
OUT31_1_51000 31.4306 93.1925
OUT35_1_48500 36.0674 105.115
OUT33_1_25000 34.2453 93.844
OUT34_1_25000 35.7456 98.3987
OUT31_1_51500 31.3534 92.9328
OUT33_1_25500 34.3827 93.7045
OUT35_1_49000 36.098 105.345
OUT34_1_25500 35.8801 98.3378
OUT31_1_52000 31.2869 92.5865
OUT33_1_26000 34.4819 94.6906
OUT35_1_49500 36.0572 105.398
OUT34_1_26000 35.999 98.3728
OUT31_1_52500 31.1715 92.0137
OUT33_1_26500 34.5272 94.2692
OUT34_1_26500 36.0714 98.262
OUT35_1_50000 35.9848 105.383
OUT31_1_53000 31.0248 91.3549
OUT34_1_27000 36.0732 97.4591
OUT33_1_27000 34.5194 94.3423
OUT35_1_50500 35.9216 105.354
OUT34_1_27500 36.0076 97.1839
OUT31_1_53500 30.953 90.8812
OUT33_1_27500 34.5033 93.1902
OUT30_1_15500 31.2833 89.4228
OUT35_1_51000 35.8336 105.35
OUT34_1_28000 35.8386 97.6731
OUT31_1_54000 30.9741 90.7485
OUT33_1_28000 34.472 93.5318
OUT30_1_16000 31.2493 89.4564
OUT35_1_51500 35.7144 105.181
OUT31_1_54500 31.0194 90.6734
OUT34_1_28500 35.6908 97.2791
OUT33_1_28500 34.3572 93.1359
OUT30_1_16500 31.1833 89.565
OUT35_1_52000 35.5502 104.93
OUT31_1_55000 30.9889 90.7221
OUT34_1_29000 35.5823 97.1762
OUT30_1_17000 31.066 89.0379
OUT33_1_29000 34.2295 92.4902
OUT31_1_55500 30.8996 90.8159
OUT35_1_52500 35.3472 104.617
OUT34_1_29500 35.4019 96.5398
OUT33_1_29500 34.1503 93.0552
OUT30_1_17500 30.9891 88.9422
OUT31_1_56000 30.8745 91.0722
OUT33_1_30000 34.0303 92.7182
OUT34_1_30000 35.1642 96.7958
OUT35_1_53000 35.1646 104.33
OUT30_1_18000 30.8977 88.4693
OUT31_1_56500 30.8635 91.457
OUT33_1_30500 33.9313 91.9426
OUT34_1_30500 34.9458 96.7526
OUT35_1_53500 34.9889 103.994
OUT30_1_18500 30.9221 87.9769
OUT31_1_57000 30.7865 91.7594
OUT33_1_31000 33.8063 91.5295
OUT34_1_31000 34.732 96.0316
OUT30_1_19000 30.9051 87.4699
OUT35_1_54000 34.8667 103.677
OUT31_1_57500 30.7609 92.1348
OUT33_1_31500 33.6372 91.0006
OUT34_1_31500 34.5778 95.8697
OUT30_1_19500 30.8395 86.8503
OUT35_1_54500 34.7365 103.299
OUT33_1_32000 33.4412 91.8896
OUT31_1_58000 30.8175 92.8609
OUT30_1_20000 30.6981 86.5167
OUT34_1_32000 34.4275 95.2553
OUT35_1_55000 34.605 102.974
OUT33_1_32500 33.2201 91.5998
OUT31_1_58500 30.8588 93.6722
OUT30_1_20500 30.5874 86.3276
OUT34_1_32500 34.2799 95.004
OUT35_1_55500 34.515 102.713
OUT33_1_33000 33.0159 90.9347
OUT31_1_59000 30.9195 94.4862
OUT30_1_21000 30.5073 86.0649
OUT34_1_33000 34.1042 94.5782
OUT35_1_56000 34.4428 102.391
OUT33_1_33500 32.8474 90.8635
OUT31_1_59500 30.9665 95.1362
OUT30_1_21500 30.475 84.9122
OUT34_1_33500 33.9146 95.7354
OUT33_1_34000 32.6759 90.5351
OUT35_1_56500 34.3453 101.973
OUT31_1_60000 30.9642 95.4793
OUT30_1_22000 30.4323 85.0129
OUT34_1_34000 33.7137 94.1801
OUT33_1_34500 32.5404 89.4299
OUT35_1_57000 34.2399 101.457
OUT31_1_60500 30.9302 95.7476
OUT30_1_22500 30.401 84.8725
OUT34_1_34500 33.5251 95.3072
OUT33_1_35000 32.4121 89.3701
OUT35_1_57500 34.1583 101.04
OUT31_1_61000 30.9444 95.9517
OUT30_1_23000 30.333 84.0365
OUT34_1_35000 33.3745 94.2212
OUT33_1_35500 32.2481 89.6644
OUT31_1_61500 30.9728 95.9884
OUT35_1_58000 34.1187 100.859
OUT30_1_23500 30.1579 83.7621
OUT34_1_35500 33.2372 94.0469
OUT33_1_36000 32.0877 89.7942
OUT30_1_24000 29.9982 82.571
OUT31_1_62000 31.029 96.0073
OUT35_1_58500 34.1618 100.947
OUT34_1_36000 33.0829 93.8681
OUT33_1_36500 31.9495 90.0592
OUT30_1_24500 29.8945 81.6881
OUT31_1_62500 31.0327 95.8577
OUT35_1_59000 34.2886 101.367
OUT34_1_36500 32.9177 93.2898
OUT33_1_37000 31.8686 90.5017
OUT35_1_59500 34.4232 101.826
OUT30_1_25000 29.8131 81.8613
OUT31_1_63000 31.0041 95.8351
OUT34_1_37000 32.8157 93.4311
OUT33_1_37500 31.8147 91.0311
OUT30_1_25500 29.7185 80.7225
OUT35_1_60000 34.5042 102.232
OUT31_1_63500 31.0136 96.1668
OUT34_1_37500 32.76 93.7615
OUT30_1_26000 29.5948 80.8503
OUT33_1_38000 31.7808 91.5866
