file                Rg           Dmax
OUT13_1_15500 14.3293 41.4614
OUT14_1_15500 14.3398 41.8313
OUT15_1_15500 14.3528 42.1782
OUT17_1_15500 14.3804 42.5507
OUT13_1_16000 14.3035 41.8849
OUT17_1_16000 14.3634 42.7386
OUT14_1_16000 14.2979 42.0161
OUT16_1_16000 14.3517 42.4859
OUT15_1_16000 14.3336 42.3508
OUT13_1_16500 14.2917 40.4448
OUT17_1_16500 14.367 43.2461
OUT14_1_16500 14.3131 41.2775
OUT15_1_16500 14.3119 41.2087
OUT16_1_16500 14.3957 43.3109
OUT13_1_17000 14.3302 41.4312
OUT14_1_17000 14.3097 41.1797
OUT17_1_17000 14.3992 43.293
OUT15_1_17000 14.2837 40.3755
OUT16_1_17000 14.3516 41.6934
OUT13_1_17500 14.2803 40.3755
OUT14_1_17500 14.3267 40.7083
OUT15_1_17500 14.282 40.946
OUT17_1_17500 14.3872 43.8959
OUT16_1_17500 14.3699 41.8341
OUT13_1_18000 14.292 41.5043
OUT14_1_18000 14.2905 40.3755
OUT15_1_18000 14.3107 41.06
OUT17_1_18000 14.4412 44.6418
OUT16_1_18000 14.2907 40.841
OUT13_1_18500 14.3031 40.808
OUT14_1_18500 14.2641 40.3755
OUT15_1_18500 14.3214 41.3186
OUT16_1_18500 14.3145 41.2917
OUT17_1_18500 14.3888 43.6937
OUT13_1_19000 14.2572 40.3755
OUT14_1_19000 14.2812 40.7041
OUT15_1_19000 14.3225 41.2
OUT16_1_19000 14.3828 41.64
OUT17_1_19000 14.3783 43.9919
OUT13_1_19500 14.268 41.0269
OUT14_1_19500 14.3006 41.2999
OUT15_1_19500 14.3046 41.153
OUT16_1_19500 14.3139 41.222
OUT17_1_19500 14.4123 44.1249
OUT13_1_20000 14.2649 41.0347
OUT14_1_20000 14.2778 40.3803
OUT15_1_20000 14.3463 42.2428
OUT16_1_20000 14.2822 41.9801
OUT17_1_20000 14.4418 43.6091
OUT14_1_20500 14.3889 42.0438
OUT13_1_20500 14.3691 42.6667
OUT15_1_20500 14.2899 40.8663
OUT16_1_20500 14.3442 43.477
OUT17_1_20500 14.4502 43.7766
OUT14_1_21000 14.3651 42.6589
OUT13_1_21000 14.3401 43.2387
OUT15_1_21000 14.3343 41.8392
OUT16_1_21000 14.2917 42.372
OUT17_1_21000 14.4543 44.4122
OUT14_1_21500 14.34 42.2251
OUT13_1_21500 14.3683 43.776
OUT15_1_21500 14.3267 42.3339
OUT16_1_21500 14.3524 41.7629
OUT17_1_21500 14.3363 43.6428
OUT14_1_22000 14.4075 41.8655
OUT13_1_22000 14.3577 42.619
OUT15_1_22000 14.3555 41.7763
OUT16_1_22000 14.3369 41.3924
OUT17_1_22000 14.2687 42.28
