file,Rg,Dmax
OUT18_1_29500,17.3898,60.1109
OUT16_1_31500,16.5686,59.2751
OUT17_1_30500,17.4998,62.6022
OUT15_1_33000,15.5814,50.3108
OUT14_1_33500,14.8864,46.7523
OUT18_1_30000,17.2936,58.6968
OUT16_1_32000,16.4445,59.2129
OUT15_1_33500,15.4122,49.222
OUT17_1_31000,17.2624,59.7566
OUT14_1_34000,14.986,47.9675
OUT16_1_32500,16.4456,57.8079
OUT18_1_30500,17.0526,57.1052
OUT15_1_34000,15.3144,47.8576
OUT14_1_34500,15.0007,47.9012
OUT17_1_31500,16.9705,58.2416
OUT15_1_34500,15.2493,47.6481
OUT16_1_33000,16.4041,56.7744
OUT18_1_31000,16.809,53.8497
OUT14_1_35000,15.0,47.5696
OUT17_1_32000,16.7063,57.8156
OUT15_1_35000,15.2544,48.4249
OUT14_1_35500,14.9919,47.6398
OUT16_1_33500,16.3315,55.1952
OUT18_1_31500,16.7187,54.6269
OUT17_1_32500,16.42,55.9338
OUT15_1_35500,15.0324,46.8455
OUT14_1_36000,15.084,47.3824
OUT18_1_32000,16.5848,55.3839
OUT16_1_34000,16.1679,52.4232
OUT17_1_33000,16.211,54.4273
OUT15_1_36000,14.8541,45.7753
OUT14_1_36500,15.1772,47.5634
OUT18_1_32500,16.5262,54.982
OUT16_1_34500,16.0731,51.9705
OUT17_1_33500,16.1293,53.9141
OUT15_1_36500,14.7461,45.9698
OUT14_1_37000,15.2343,48.1752
OUT18_1_33000,16.4689,54.5258
OUT16_1_35000,15.8896,51.4174
OUT17_1_34000,16.1259,52.725
OUT15_1_37000,14.6461,45.9727
OUT14_1_37500,15.1834,49.4568
OUT18_1_33500,16.4401,52.7661
OUT16_1_35500,15.7395,52.0366
OUT17_1_34500,16.0755,51.5653
OUT15_1_37500,14.6555,46.9543
OUT14_1_38000,15.0824,49.0001
OUT18_1_34000,16.4351,53.3058
OUT16_1_36000,15.6959,52.4177
OUT17_1_35000,16.0641,53.0905
OUT15_1_38000,14.7079,46.1588
OUT14_1_38500,15.0005,48.6223
OUT18_1_34500,16.4957,53.2554
OUT16_1_36500,15.7678,51.0997
OUT15_1_38500,14.8339,45.3755
OUT17_1_35500,16.1183,53.3651
OUT14_1_39000,14.8681,47.8703
OUT18_1_35000,16.593,54.2828
OUT16_1_37000,15.8929,50.5419
OUT15_1_39000,14.8803,45.5782
OUT17_1_36000,16.1187,52.9939
OUT14_1_39500,14.8352,48.2404
OUT18_1_35500,16.7426,54.335
OUT16_1_37500,15.9724,50.3326
OUT15_1_39500,15.0199,46.8134
OUT17_1_36500,16.054,52.2148
OUT14_1_40000,14.8474,48.9485
OUT15_1_40000,15.2475,48.1394
OUT18_1_36000,16.8603,54.4832
OUT16_1_38000,16.0323,51.8222
OUT17_1_37000,16.0723,53.1857
OUT14_1_40500,14.9754,47.1008
OUT15_1_40500,15.3374,48.8418
OUT18_1_36500,16.9847,56.6734
OUT16_1_38500,16.1174,52.9082
OUT17_1_37500,16.1362,53.4276
OUT14_1_41000,15.0208,49.3094
OUT15_1_41000,15.4036,49.9619
